Maria,2.72
Anna,2.19
Elisabeth,1.73
Christine,1.37
Monika,1.33
Sabine,1.31
Gabriele,1.23
Claudia,1.22
Barbara,1.18
Brigitte,1.17
Ursula,1.12
Renate,1.09
Susanne,1.09
Andrea,1.07
Helga,1.06
Petra,1.01
Katharina,1.00
Karin,1.00
Eva,0.95
Ingrid,0.92
Ingeborg,0.90
Hildegard,0.85
Julia,0.80
Angelika,0.78
Erika,0.76
Johanna,0.72
Christa,0.66
Franziska,0.66
Elfriede,0.65
Sandra,0.65
Marianne,0.64
Martina,0.63
Gisela,0.63
Daniela,0.61
Alexandra,0.60
Birgit,0.60
Ulrike,0.58
Stefanie,0.57
Irmgard,0.55
Gertrud,0.55
Michaela,0.54
Marion,0.53
Sonja,0.52
Nicole,0.51
Rosa,0.50
Hannelore,0.49
Christina,0.48
Anja,0.47
Melanie,0.46
Stephanie,0.46